Audience segment list report
All time
Segment name,Description,Upload status,Warning,Customer Type,Segment Type,Membership status,Size: Search,Size: YouTube,Size: Display,Size: Gmail campaign
Converters,Goal Completions > 0 Transactions > 0, --, --,,Website visitors,Open,0,0,0,0
Outbound click (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Google-engaged audiences - for Account 9438920090,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Closed,0,0,Incompatible,0
Google-engaged audiences - for Account 2058494588,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Closed,0,0,Incompatible,0
All visitors (Google Ads),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,220,220,120,56
Get directions (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Google-engaged audiences - for Account 4305843078,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Closed,0,0,Incompatible,0
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Closed,"<1,000","<1,000","<1,000","<1,000"
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Google-engaged audiences - for Account 7978137892,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Open,"440,000","440,000",Incompatible,"280,000"
Submit lead form (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
[all traffic] non-converters,Goal Completions = 0 Transactions = 0, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Ads),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Closed,0,0,0,0
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Closed,"<1,000","<1,000","<1,000","<1,000"
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Closed,"<1,000","<1,000","<1,000","<1,000"
All Users of Spavia Day Spa - West Plano - GA4,All users, --, --,,Website visitors,Open,"7,100","7,000","3,800","2,800"
Phone call lead (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Non-converters,, --, --,,Custom combination segment,Closed,"<1,000","<1,000","<1,000","<1,000"
Page view (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Open,"<1,000","<1,000","<1,000","<1,000"
Site Conversions,Goal Completions > 0 Transactions > 0, --, --,,Website visitors,Open,0,0,0,0
Hyper-Remarketing List,"Page: contains ""/schedule"" Healcode Confirmation (Goal 6 Completions) ≤ 0", --, --,,Website visitors,Open,0,0,0,0
Site Conversions,Goal Completions > 0 Transactions > 0, --, --,,Website visitors,Open,0,0,0,0
Non Converters,Goal Completions = 0 Transactions = 0, --, --,,Website visitors,Open,0,0,0,0
Site Conversions,Goal Completions > 0 Transactions > 0, --, --,,Website visitors,Open,0,0,0,0
All converters,People who converted on your site. Based on your conversion tracking tag., --, --,,Website visitors,Closed,0,0,0,0
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Ads),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Contact (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Purchase (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
Google-engaged audiences - for Account 5218536737,People who visited your website from the search results page or ads on Google surfaces., --, --,,Website visitors,Open,"1,900","1,800",Incompatible,950
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Closed,"<1,000","<1,000","<1,000","<1,000"
All visitors (Google Ads),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Closed,0,0,0,0
AdWords optimized list,Combined audience based on available data sources, --, --,,Custom combination segment,Open,1K-10K,1K-10K,1K-10K,1K-10K
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
Engagement (Conversion-based),, --, --,,Customer segment,Open,Populating...,Populating...,Populating...,Populating...
[All Traffic] Non-converters,Goal Completions ≤ 0, --, --,,Website visitors,Open,0,0,0,0
90 day bookings,Healcode Confirmation (Goal 6 Completions) > 0, --, --,,Website visitors,Open,0,0,0,0
Non-Converters,Goal Completions = 0 Transactions = 0, --, --,,Website visitors,Open,0,0,0,0
All visitors (Google Analytics),People who visited pages that contain your remarketing tags, --, --,,Website visitors,Open,0,0,0,0
